20191129_2_xls-data.xlsx;29.11.2019: Entschließungsantrag AfD - Einzelplan 14 (Verteidigung)
20191129_1_xls-data.xlsx;29.11.2019: Haushaltsjahr 2020
20191127_1_xls-data.xlsx;27.11.2019: Einzelplan 04 - Geschäftsbereich der Bundeskanzlerin und des Bundeskanzleramtes
20191126_1_xls-data.xlsx;26.11.2019: Änderungsantrag der AfD-Fraktion zu Einzelplan 16 (Umweltministerium)
20191115_1_xls-data.xlsx;14.11.2019: Änderung des Luftverkehrsteuergesetzes
20191114_6_xls-data.xlsx;14.11.2019: Beschlussempfehlung zu Einsatz chemischer Pflanzenschutzmittel
20191114_7_xls-data.xlsx;14.11.2019: Beschlussempfehlung zu Verbot von Tierexporten
20191114_5_xls-data.xlsx;14.11.2019: Stärkung der Impfprävention (Masernschutz)
20191114_4_xls-data.xlsx;14.11.2019: Wettbewerbsfähigkeit der deutschen Wirtschaft
20191114_2_xls-data.xlsx;14.11.2019: Gesetzentwurf der FDP: Abschaffung des Solidaritätszuschlags
20191114_1_xls-data.xlsx;14.11.2019: Gesetzentwurf der Bundesregierung: Solidaritätszuschlag
20191114_3_xls-data.xlsx;14.11.2019: Beschlussempfehlung des Finanzausschusses zum Antrag 19/4898
20191113_1_xls-data.xlsx;13.11.2019: Änderungsantrag zu Direktzahlungen-Durchführungsgesetz
20191113_2_xls-data.xlsx;13.11.2019: Gesetzentwurf Direktzahlungen-Durchführungsgesetz
20191107_2_xls-data.xlsx;07.11.2019: Änderungsantrag der FDP (19/14883)
20191107_1_xls-data.xlsx;07.11.2019: Änderungsantrag der FDP (19/14882)
20191024_3_xls-data.xlsx;24.10.2019: Wettbewerbsfähige Landwirtschaft
20191024_2_xls-data.xlsx;24.10.2019: Russlandpolitik
20191024_1_xls-data.xlsx;24.10.2019: Beschlussempfehlung zu Bundeswehreinsatz zur Bekämpfung des IS-Terrors
20191018_1_xls-data.xlsx;18.10.2019: Gesetzentwurf der CDU/CSU und SPD zur Änderung des Grundgesetzes - Grundsteuerreform
20191018_2_xls-data.xlsx;18.10.2019: Beschlussempfehlung zu Antrag Die Linke - Grundsteuer
20191017_2_xls-data.xlsx;17.10.2019: Verkehrspolitik
20191017_1_xls-data.xlsx;17.10.2019: Entschließungsantrag Die Linke zur Regierungserklärung
20190926_3_xls-data.xlsx;26.09.2019: Änderungsantrag der AfD - Stasi-Unterlagen-Gesetz
20190926_4_xls-data.xlsx;26.09.2019: Gesetzentwurf deutsch-französische Zusammenarbeit und Integration
20190926_7_xls-data.xlsx;26.09.2019: Antrag CDU/CSU, SPD - EU-Beitrittsantrag Albaniens
20190926_6_xls-data.xlsx;26.09.2019: Antrag CDU/CSU, SPD - EU-Beitrittsantrag Nordmazedoniens
20190926_5_xls-data.xlsx;26.09.2019: Entschließungsantrag der AfD zu Gesetzentwurf deutsch-französische Zusammenarbeit und Integration
20190926_1_xls-data.xlsx;26.09.2019: Beschlussempfehlung zu Antrag FDP „Weltweit mehr Wald für den Klimaschutz“
20190628_4_xls-data.xls;28.06.2019: Antrag Die Linke - Klimanotstand anerkennen
20190628_3_xls-data.xls;28.06.2019: Kohlekraftwerk-Sofortmaßnahme-Gesetz
20190628_2_xls-data.xls;28.06.2019: Bundeswehreinsatz in Libanon (UNIFIL)
20190628_1_xls-data.xls;28.06.2019: Bundeswehreinsatz in Kosovo (KFOR)
20190607_3_xls-data.xls;07.06.2019: Änderung des Asylbewerberleistungsgesetzes
20190607_2_xls-data.xls;07.06.2019: Entwurf eines Fachkräfteeinwanderungsgesetzes
20190607_1_xls-data.xls;07.06.2019: Entwurf eines Zweiten Gesetzes zur besseren Durchsetzung der Ausreisepflicht
20190606_2_xls-data.xls;06.06.2019: Erreichung der Klimaziele
20190606_1_xls-data.xls;06.06.2019: Bekämpfung illegaler Beschäftigung
20190517_1_xls-data.xls;17.05.2019: BDS-Bewegung verurteilen - Existenz des Staates Israel schützen
20190516_1_xls-data.xls;16.05.2019: Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Änderungsantrag Bündnis 90/Die Grünen und Die Linke)
20190516_3_xls-data.xls;16.05.2019: Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Gesetzentwurf der Bundesregierung)
20190516_2_xls-data.xls;16.05.2019: Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Änderungsantrag Bündnis 90/Die Grünen)
20190509_4_xls-data.xls;09.05.2019: Konzerntransparenz gegen Steuerflucht
20190509_1_xls-data.xls;09.05.2019: Bundeswehreinsatz in Mali (MINUSMA)
20190509_3_xls-data.xls;09.05.2019: Bundeswehreinsatz EU NAVFOR Somalia-Atalanta
20190509_2_xls-data.xls;09.05.2019: Bundeswehreinsatz (EUTM Mali)
20190411_5_xls-data.xls;11.04.2019: Sozialschutz für Arbeitnehmer und Selbständige
20190321_6_xls-data.xls;21.03.2019: Änderung des Marktorganisationsgesetzes
20190321_5_xls-data.xls;21.03.2019: Bundeswehreinsatz in Darfur (UNAMID)
20190321_4_xls-data.xls;21.03.2019: Bundeswehreinsatz in Südsudan (UNMISS)
20190321_3_xls-data.xls;21.03.2019: Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN)
20190321_2_xls-data.xls;21.03.2019: Entschließungsantrag FDP - Bundeswehreinsatz in Afghanistan (Resolute Support)
20190321_1_xls-data.xls;21.03.2019: Bundeswehreinsatz in Afghanistan (Resolute Support)
20190320_1_xls-data.xls;20.03.2019: Antrag zu Ein deutsch-französisches Parlamentsabkommen - Für eine verstärkte parlamentarische Zusammenarbeit
20190315_1_xls-data.xls;15.03.2019: Entwurf eines Gesetzes für mehr Teilhabe im Wahlrecht
20190315_2_xls-data.xls;15.03.2019: Entwurf eines Gesetzes zur Umsetzung der UN-Behindertenrechtskonvention im Wahlrecht
20190315_3_xls-data.xls;15.03.2019: Für die Einführung eines inklusiven Wahlrechts
20190314_1_xls-data.xls;14.03.2019: Änderung des Bundes-Immissionsschutzgesetzes (Gesetzentwurf von CDU/CSU und SPD)
20190314_3_xls-data.xls;14.03.2019: Deutsche und europäische Israelpolitik
20190314_2_xls-data.xls;14.03.2019: Einheitliche Messverfahren für Stickoxide durchsetzen - Fahrverbote wirksam verhindern
20190221_3_xls-data.xls;21.02.2019: Gesetz zur Verbesserung der Information über einen Schwangerschaftsabbruch
20190221_1_xls-data.xls;21.02.2019: Beschlussempfehlung des Vermittlungsausschusses (Änderung des Grundgesetzes)
20190221_4_xls-data.xls;21.02.2019: Aufhebung des Werbeverbots für Schwangerschaftsabbrüche
20190221_5_xls-data.xls;21.02.2019: Aufhebung von § 219a StGB
20190221_6_xls-data.xls;21.02.2019: Kostenloser Zugang zu Verhütungsmitteln für Menschen mit geringem Einkommen
20190221_2_xls-data.xls;21.02.2019: Gefahr Wolf - Unkontrollierte Population stoppen
20190118_2_xls-data.xls;18.01.2019: Änderung des Asylgesetzes (Entschließungsantrag der FDP-Fraktion)
